reference_no,company_name,job_title,min_experience,avg_salary,min_salary,max_salary,num_of_jobs,job_title_normalized,experience_level
7834.0,TCS,Data Scientist,2.0,7.8,4.5,16.0,841.0,Data Scientist,Junior
7862.0,Accenture,Data Scientist,2.0,12.8,5.8,23.0,501.0,Data Scientist,Junior
5925.0,IBM,Data Scientist,2.0,13.4,5.3,25.0,394.0,Data Scientist,Junior
7578.0,Cognizant,Data Scientist,2.0,9.8,5.0,18.0,318.0,Data Scientist,Junior
7177.0,Capgemini,Data Scientist,2.0,8.6,4.8,14.6,300.0,Data Scientist,Junior
4018.0,Infosys,Data Scientist,2.0,9.3,4.5,24.0,228.0,Data Scientist,Junior
8562.0,Wipro,Data Scientist,2.0,9.7,4.5,18.2,225.0,Data Scientist,Junior
6212.0,Tech Mahindra,Data Scientist,2.0,7.6,4.1,15.4,218.0,Data Scientist,Junior
8334.0,Fractal Analytics,Data Scientist,2.0,15.9,10.0,23.0,166.0,Data Scientist,Junior
3930.0,Deloitte,Data Scientist,2.0,14.2,7.0,25.0,163.0,Data Scientist,Junior
5436.0,Ericsson,Data Scientist,3.0,14.6,6.0,26.9,152.0,Data Scientist,Mid
7445.0,HCL Technologies,Data Scientist,2.0,9.8,4.5,20.3,152.0,Data Scientist,Junior
4215.0,Amazon,Data Scientist,2.0,28.1,9.5,50.0,140.0,Data Scientist,Junior
8777.0,UnitedHealth,Data Scientist,2.0,14.8,8.3,21.5,120.0,Data Scientist,Junior
1347.0,Mu Sigma,Data Scientist,1.0,7.4,5.0,12.0,116.0,Data Scientist,Junior
3097.0,Ab Inbev,Data Scientist,2.0,20.6,15.0,26.2,116.0,Data Scientist,Junior
1322.0,L&T Infotech,Data Scientist,2.0,11.6,6.5,20.9,102.0,Data Scientist,Junior
3990.0,Tiger Analytics,Data Scientist,2.0,14.8,9.0,20.0,102.0,Data Scientist,Junior
8847.0,Optum,Data Scientist,2.0,16.6,11.0,22.5,101.0,Data Scientist,Junior
3700.0,Ernst & Young,Data Scientist,2.0,12.4,6.7,20.0,96.0,Data Scientist,Junior
8732.0,Mindtree,Data Scientist,2.0,10.6,4.8,18.7,94.0,Data Scientist,Junior
5837.0,Walmart,Data Scientist,2.0,28.3,17.8,41.0,85.0,Data Scientist,Junior
4163.0,DXC Technology,Data Scientist,2.0,10.0,4.4,15.5,83.0,Data Scientist,Junior
